倒霉	倒楣
血黴	血楣
血霉	血楣
大黴	大楣
大霉	大楣
霉頭	楣頭
黴頭	楣頭
霉運	楣運
黴運	楣運
呼之慾出	呼之欲出
舍掉	捨掉
舍不捨得	捨不捨得
閤家	闔家
快准狠	快狠準
幹涉	干涉
乾涉	干涉
幹澀	乾澀
幹站	乾站
乾嘛	幹嘛
乾活	幹活
幹柴烈火	乾柴烈火
幹燥	乾燥
幹裂	乾裂
幹巴巴	乾巴巴
幹瞪眼	乾瞪眼
幹笑	乾笑
幹坐	乾坐
幹等	乾等
乾架	幹架
幹著急	乾著急
幹煸	乾煸
乾正事	幹正事
幹淨	乾淨
幹脆	乾脆
幹預	干預
幹擾	干擾
幹戈	干戈
幹涸	乾涸
幹枯	乾枯
幹嘔	乾嘔
幹咳	乾咳
關系	關係
呆著	待著
電線杆	電線桿
怒氣衝衝	怒氣沖沖
品位	品味
瞭然	了然
望瞭望	望了望
掙紮	掙扎
踟躕	躊躇
嗯人	恩人
嗯師	恩師
嗯公	恩公
嗯情	恩情
嗯愛	恩愛
嗯將仇報	恩將仇報
游手好閒	遊手好閒
無業游民	無業遊民
游輪	郵輪
自駕游	自駕遊
慶倖	慶幸
妥妥噹噹	妥妥當當
穩穩噹噹	穩穩當當
籤字	簽字
籤名	簽名
籤約	簽約
籤合約	簽合約
籤合同	簽合同
讚成	贊成
讚同	贊同
點贊	點讚
按贊	按讚
別彆扭扭	彆彆扭扭
西紅柿	蕃茄
土豆	馬零薯
